Date,Open,High,Low,Close,Volume
29/09/2005 16:00:00,340,342.5,327.5,340,14200500
30/09/2005 16:00:00,345,345,340,345,7980500
03/10/2005 16:00:00,345,345,337.5,345,9634500
04/10/2005 16:00:00,360,360,345,360,27807500
05/10/2005 16:00:00,352.5,360,345,352.5,9941000
06/10/2005 16:00:00,352.5,352.5,345,352.5,6899000
07/10/2005 16:00:00,342.5,345,340,342.5,7665000
10/10/2005 16:00:00,347.5,347.5,337.5,347.5,7204000
11/10/2005 16:00:00,342.5,345,340,342.5,9708000
12/10/2005 16:00:00,340,342.5,337.5,340,3301500
13/10/2005 16:00:00,337.5,337.5,332.5,337.5,12943000
14/10/2005 16:00:00,337.5,337.5,332.5,337.5,6397500
18/10/2005 16:00:00,335,335,332.5,335,2193000
19/10/2005 16:00:00,327.5,332.5,327.5,327.5,15829000
21/10/2005 16:00:00,332.5,332.5,327.5,332.5,1452500
24/10/2005 16:00:00,332.5,340,332.5,332.5,7066500
26/10/2005 16:00:00,332.5,335,330,332.5,34279000
27/10/2005 16:00:00,332.5,332.5,330,332.5,10896500
28/10/2005 16:00:00,322.5,330,317.5,322.5,11070000
31/10/2005 16:00:00,322.5,325,317.5,322.5,4902500
01/11/2005 16:00:00,312.5,325,302.5,312.5,30815500
10/11/2005 16:00:00,300,305,297.5,300,21486500
11/11/2005 16:00:00,300,305,292.5,300,18695500
14/11/2005 16:00:00,302.5,302.5,292.5,302.5,15630500
15/11/2005 16:00:00,310,310,300,310,6340000
16/11/2005 16:00:00,320,320,310,320,7770000
17/11/2005 16:00:00,320,320,315,320,8757000
18/11/2005 16:00:00,317.5,320,312.5,317.5,42502000
21/11/2005 16:00:00,315,325,312.5,315,22079000
22/11/2005 16:00:00,317.5,317.5,312.5,317.5,24015500
23/11/2005 16:00:00,322.5,322.5,315,322.5,14521500
24/11/2005 16:00:00,330,330,325,330,29277500
25/11/2005 16:00:00,330,332.5,327.5,330,6879500
28/11/2005 16:00:00,330,332.5,327.5,330,16827000
29/11/2005 16:00:00,330,330,327.5,330,5292500
30/11/2005 16:00:00,330,330,327.5,330,19044000
01/12/2005 16:00:00,330,330,327.5,330,8470500
02/12/2005 16:00:00,335,335,330,335,38492500
05/12/2005 16:00:00,335,337.5,332.5,335,8719500
06/12/2005 16:00:00,340,345,335,340,21452500
07/12/2005 16:00:00,350,350,342.5,350,32652000
08/12/2005 16:00:00,352.5,357.5,350,352.5,26093500
09/12/2005 16:00:00,345,352.5,340,345,12870000
12/12/2005 16:00:00,345,347.5,342.5,345,6053500
13/12/2005 16:00:00,350,350,345,350,9161500
14/12/2005 16:00:00,340,350,337.5,340,11400000
15/12/2005 16:00:00,340,342.5,337.5,340,14693500
16/12/2005 16:00:00,340,342.5,337.5,340,9641000
19/12/2005 16:00:00,340,342.5,337.5,340,2380500
20/12/2005 16:00:00,340,340,337.5,340,6225500
21/12/2005 16:00:00,335,337.5,332.5,335,8795500
22/12/2005 16:00:00,340,340,335,340,4038000
23/12/2005 16:00:00,340,340,335,337.5,2167500
27/12/2005 16:00:00,335,340,335,335,1136500
28/12/2005 16:00:00,337.5,337.5,332.5,337.5,1440000
29/12/2005 16:00:00,340,340,332.5,340,4188500
02/01/2006 16:00:00,340,340,335,340,784000
03/01/2006 16:00:00,347.5,347.5,337.5,347.5,8550000
04/01/2006 16:00:00,350,367.5,350,367.5,41532500
05/01/2006 16:00:00,367.5,370,357.5,360,9768500
06/01/2006 16:00:00,357.5,362.5,355,360,7558500
09/01/2006 16:00:00,360,365,360,365,13730500
11/01/2006 16:00:00,365,365,357.5,362.5,12659500
12/01/2006 16:00:00,362.5,362.5,360,360,8797000
13/01/2006 16:00:00,360,362.5,360,360,5679000
16/01/2006 16:00:00,360,367.5,357.5,360,16494000
17/01/2006 16:00:00,360,360,355,357.5,10043000
18/01/2006 16:00:00,355,355,350,350,4814500
19/01/2006 16:00:00,352.5,362.5,352.5,362.5,3639000
20/01/2006 16:00:00,362.5,365,360,362.5,5825500
23/01/2006 16:00:00,360,360,355,357.5,2812500
24/01/2006 16:00:00,357.5,357.5,355,357.5,1433000
25/01/2006 16:00:00,357.5,362.5,357.5,362.5,4194500
26/01/2006 16:00:00,362.5,362.5,360,360,2898500
27/01/2006 16:00:00,365,365,360,365,4404500
30/01/2006 16:00:00,362.5,365,360,362.5,1065000
01/02/2006 16:00:00,367.5,367.5,362.5,367.5,8118000
02/02/2006 16:00:00,365,365,362.5,365,3049000
03/02/2006 16:00:00,370,370,365,370,2556000
06/02/2006 16:00:00,370,370,367.5,370,2394500
07/02/2006 16:00:00,370,372.5,370,372.5,2606000
08/02/2006 16:00:00,370,370,360,365,9479500
09/02/2006 16:00:00,365,365,362.5,365,5894000
