Date,Open,High,Low,Close,Volume
02/01/2019 16:00:00,3522,3551,3502,3522,76819601
03/01/2019 16:00:00,3493,3551,3493,3532,95795849
04/01/2019 16:00:00,3532,3571,3522,3571,117322423
07/01/2019 16:00:00,3610,3619,3571,3571,76507998
08/01/2019 16:00:00,3571,3590,3541,3590,83396900
09/01/2019 16:00:00,3619,3649,3600,3629,122376451
10/01/2019 16:00:00,3649,3658,3619,3658,145476617
11/01/2019 16:00:00,3668,3678,3610,3639,110559084
14/01/2019 16:00:00,3639,3698,3639,3698,117945534
15/01/2019 16:00:00,3678,3698,3649,3688,144383330
16/01/2019 16:00:00,3698,3707,3668,3688,106368124
17/01/2019 16:00:00,3698,3746,3688,3717,122857277
18/01/2019 16:00:00,3756,3756,3698,3727,98500135
21/01/2019 16:00:00,3707,3737,3707,3707,82950091
22/01/2019 16:00:00,3678,3698,3649,3678,122681184
23/01/2019 16:00:00,3668,3717,3639,3678,167546863
24/01/2019 16:00:00,3658,3717,3658,3698,180572711
25/01/2019 16:00:00,3727,3727,3688,3688,130321308
28/01/2019 16:00:00,3658,3698,3658,3688,95921718
29/01/2019 16:00:00,3688,3727,3561,3600,192306019
30/01/2019 16:00:00,3610,3668,3610,3658,148367870
31/01/2019 16:00:00,3707,3776,3707,3756,258762647
01/02/2019 16:00:00,3785,3834,3776,3824,143610183
04/02/2019 16:00:00,3854,3854,3795,3805,77855375
06/02/2019 16:00:00,3824,3844,3815,3824,80026662
07/02/2019 16:00:00,3834,3834,3795,3834,85012727
08/02/2019 16:00:00,3766,3815,3756,3795,80435738
11/02/2019 16:00:00,3795,3824,3766,3776,56977939
12/02/2019 16:00:00,3805,3805,3727,3756,97336537
13/02/2019 16:00:00,3795,3795,3688,3698,110886887
14/02/2019 16:00:00,3727,3756,3658,3707,122532348
15/02/2019 16:00:00,3746,3746,3658,3678,89932678
18/02/2019 16:00:00,3698,3766,3698,3746,96005047
19/02/2019 16:00:00,3805,3902,3785,3815,143446277
20/02/2019 16:00:00,3815,3844,3766,3795,127169597
21/02/2019 16:00:00,3737,3844,3737,3815,117405752
22/02/2019 16:00:00,3766,3815,3766,3805,83744067
25/02/2019 16:00:00,3844,3873,3805,3863,109399995
26/02/2019 16:00:00,3863,3873,3815,3844,62954985
27/02/2019 16:00:00,3815,3824,3756,3776,90264670
28/02/2019 16:00:00,3756,3776,3746,3756,109155851
01/03/2019 16:00:00,3776,3795,3766,3776,73218534
04/03/2019 16:00:00,3805,3824,3785,3785,58453234
05/03/2019 16:00:00,3805,3805,3766,3766,72381909
06/03/2019 16:00:00,3795,3824,3766,3805,57922074
08/03/2019 16:00:00,3727,3785,3717,3756,133030830
