Date,Open,High,Low,Close,Volume
01/10/2014 16:00:00,525,550,510,525,17650100
02/10/2014 16:00:00,520,550,510,520,7743300
03/10/2014 16:00:00,520,525,520,520,1153600
06/10/2014 16:00:00,570,570,500,570,533800
07/10/2014 16:00:00,570,635,570,570,1097700
08/10/2014 16:00:00,505,570,505,505,175300
09/10/2014 16:00:00,540,570,505,540,138800
10/10/2014 16:00:00,550,570,525,550,2992200
13/10/2014 16:00:00,550,550,525,550,28900
14/10/2014 16:00:00,530,535,510,530,428000
15/10/2014 16:00:00,530,530,530,530,15300
16/10/2014 16:00:00,525,525,505,525,429800
17/10/2014 16:00:00,520,520,510,520,344300
20/10/2014 16:00:00,530,550,520,530,46600
21/10/2014 16:00:00,525,530,525,525,20300
22/10/2014 16:00:00,535,590,530,535,10600
23/10/2014 16:00:00,540,540,535,540,13800
24/10/2014 16:00:00,535,540,535,535,3000
27/10/2014 16:00:00,535,535,535,535,400
28/10/2014 16:00:00,540,540,525,540,6800
29/10/2014 16:00:00,535,540,525,535,27100
30/10/2014 16:00:00,525,530,520,525,2362400
31/10/2014 16:00:00,525,530,520,525,3330000
03/11/2014 16:00:00,525,525,505,525,388200
04/11/2014 16:00:00,525,525,525,525,100
05/11/2014 16:00:00,525,525,525,525,2100
06/11/2014 16:00:00,525,525,525,525,101000
07/11/2014 16:00:00,525,525,520,525,333000
10/11/2014 16:00:00,525,525,510,525,5200
11/11/2014 16:00:00,520,520,515,520,2100
12/11/2014 16:00:00,520,525,520,520,1467600
13/11/2014 16:00:00,525,525,520,525,10200
14/11/2014 16:00:00,525,525,520,525,517900
17/11/2014 16:00:00,525,535,525,525,600
18/11/2014 16:00:00,525,525,520,525,833500
19/11/2014 16:00:00,525,530,505,525,3462000
20/11/2014 16:00:00,525,525,520,525,575000
21/11/2014 16:00:00,520,525,520,520,2803500
24/11/2014 16:00:00,525,525,515,525,1500
25/11/2014 16:00:00,525,525,525,525,800
26/11/2014 16:00:00,525,525,510,525,35000
27/11/2014 16:00:00,525,525,510,525,425400
28/11/2014 16:00:00,525,525,510,525,45200
01/12/2014 16:00:00,525,525,520,525,1363800
02/12/2014 16:00:00,515,525,515,525,300
03/12/2014 16:00:00,525,525,515,520,5800
04/12/2014 16:00:00,515,515,510,510,20103100
05/12/2014 16:00:00,515,515,510,510,1513700
08/12/2014 16:00:00,505,515,505,510,2762500
09/12/2014 16:00:00,510,510,505,505,7700
10/12/2014 16:00:00,510,510,500,505,2084300
11/12/2014 16:00:00,505,505,499,500,599300
12/12/2014 16:00:00,505,505,500,500,32700
15/12/2014 16:00:00,505,505,495,500,629500
16/12/2014 16:00:00,495,500,495,500,120600
17/12/2014 16:00:00,500,500,497,497,843300
18/12/2014 16:00:00,500,500,495,495,323400
19/12/2014 16:00:00,495,495,490,490,414700
22/12/2014 16:00:00,495,495,493,495,18100
23/12/2014 16:00:00,490,500,490,495,9257400
24/12/2014 16:00:00,496,500,490,490,5442600
29/12/2014 16:00:00,495,500,490,490,2271800
30/12/2014 16:00:00,500,505,491,500,1056300
02/01/2015 16:00:00,490,497,490,497,4400
05/01/2015 16:00:00,498,499,496,497,97700
06/01/2015 16:00:00,499,500,489,489,270700
07/01/2015 16:00:00,490,490,486,486,230200
08/01/2015 16:00:00,489,490,486,486,2333900
09/01/2015 16:00:00,486,486,484,486,1437100
12/01/2015 16:00:00,475,486,475,486,927700
13/01/2015 16:00:00,486,486,485,486,757000
14/01/2015 16:00:00,486,490,486,490,1600
15/01/2015 16:00:00,489,490,487,489,1500
16/01/2015 16:00:00,487,487,480,480,6681500
19/01/2015 16:00:00,480,480,480,480,4700
20/01/2015 16:00:00,475,475,475,475,3598700
21/01/2015 16:00:00,475,475,475,475,3001400
22/01/2015 16:00:00,490,490,485,485,8100
23/01/2015 16:00:00,485,485,484,484,16600
26/01/2015 16:00:00,475,475,470,475,400
27/01/2015 16:00:00,476,476,475,475,5600
28/01/2015 16:00:00,480,480,475,475,24300
29/01/2015 16:00:00,470,470,465,470,3145700
30/01/2015 16:00:00,470,475,470,475,1667500
02/02/2015 16:00:00,480,480,470,475,763300
03/02/2015 16:00:00,475,477,470,475,372900
04/02/2015 16:00:00,475,475,470,474,891600
05/02/2015 16:00:00,473,473,470,471,3700
06/02/2015 16:00:00,460,475,460,470,753500
09/02/2015 16:00:00,475,475,460,468,2389600
10/02/2015 16:00:00,475,475,467,468,25696500
11/02/2015 16:00:00,468,470,468,470,2202500
12/02/2015 16:00:00,470,470,460,467,247300
13/02/2015 16:00:00,469,475,467,475,682100
16/02/2015 16:00:00,461,470,461,470,2036000
17/02/2015 16:00:00,470,470,469,470,100400
18/02/2015 16:00:00,480,483,470,470,29000
20/02/2015 16:00:00,485,485,470,470,3500
23/02/2015 16:00:00,470,470,470,470,3000
24/02/2015 16:00:00,470,470,467,470,1000
25/02/2015 16:00:00,470,470,463,470,2691200
26/02/2015 16:00:00,470,470,460,470,10642400
27/02/2015 16:00:00,470,471,466,471,2012900
02/03/2015 16:00:00,480,495,470,470,748300
03/03/2015 16:00:00,470,470,465,466,3300
04/03/2015 16:00:00,466,470,466,470,2130300
05/03/2015 16:00:00,470,470,465,470,21075400
06/03/2015 16:00:00,470,470,470,470,26896600
09/03/2015 16:00:00,470,470,470,470,25442900
10/03/2015 16:00:00,475,505,466,470,1106400
11/03/2015 16:00:00,470,475,466,466,663400
12/03/2015 16:00:00,466,466,465,466,31300
13/03/2015 16:00:00,465,467,465,465,484900
16/03/2015 16:00:00,465,466,450,450,7069300
17/03/2015 16:00:00,460,470,450,470,90100
18/03/2015 16:00:00,451,470,451,470,5500
19/03/2015 16:00:00,470,470,470,470,700
20/03/2015 16:00:00,470,499,465,499,3314300
23/03/2015 16:00:00,500,510,480,480,16431800
24/03/2015 16:00:00,485,505,485,505,2079600
25/03/2015 16:00:00,510,525,500,525,2960300
26/03/2015 16:00:00,520,545,510,545,5143000
