Date,Open,High,Low,Close,Volume
01/10/2014 16:00:00,7000,7075,7000,7000,16215600
02/10/2014 16:00:00,6600,6975,6600,6600,77532100
03/10/2014 16:00:00,6600,6700,6450,6600,52774500
06/10/2014 16:00:00,6725,6750,6600,6725,23274200
07/10/2014 16:00:00,6800,6825,6700,6800,24540300
08/10/2014 16:00:00,6700,6750,6600,6700,28902700
09/10/2014 16:00:00,6725,6825,6725,6725,14465900
10/10/2014 16:00:00,6500,6600,6500,6500,32513400
13/10/2014 16:00:00,6350,6500,6350,6350,33209300
14/10/2014 16:00:00,6400,6450,6325,6400,23625500
15/10/2014 16:00:00,6400,6500,6400,6400,38484500
16/10/2014 16:00:00,6350,6450,6325,6350,28626000
17/10/2014 16:00:00,6550,6600,6350,6550,42535400
20/10/2014 16:00:00,6600,6725,6600,6600,70690800
21/10/2014 16:00:00,6500,6675,6475,6500,30349700
22/10/2014 16:00:00,6550,6600,6500,6550,20508200
23/10/2014 16:00:00,6700,6700,6500,6700,29501600
24/10/2014 16:00:00,6600,6675,6575,6600,24615300
27/10/2014 16:00:00,6525,6650,6475,6525,26639900
28/10/2014 16:00:00,6650,6650,6525,6650,16827200
29/10/2014 16:00:00,6875,6900,6675,6875,46016100
30/10/2014 16:00:00,6900,6950,6775,6900,19122900
31/10/2014 16:00:00,6775,6925,6725,6775,36358500
03/11/2014 16:00:00,6875,6875,6700,6875,17490700
04/11/2014 16:00:00,6775,7000,6775,6775,30482600
05/11/2014 16:00:00,6950,6950,6800,6950,16107000
06/11/2014 16:00:00,6950,7000,6900,6950,20948900
07/11/2014 16:00:00,6950,7000,6925,6950,28593900
10/11/2014 16:00:00,6725,6950,6725,6725,13249600
11/11/2014 16:00:00,6875,7000,6725,6875,14810500
12/11/2014 16:00:00,7100,7150,6950,7100,25719900
13/11/2014 16:00:00,7100,7125,7050,7100,8962300
14/11/2014 16:00:00,7175,7200,7050,7175,19009200
17/11/2014 16:00:00,7175,7200,7075,7125,19508600
18/11/2014 16:00:00,7200,7200,7075,7200,14477000
19/11/2014 16:00:00,7150,7200,7100,7150,15053900
20/11/2014 16:00:00,6875,7125,6825,6875,41087200
21/11/2014 16:00:00,6950,7050,6850,6950,14981800
24/11/2014 16:00:00,7100,7125,7000,7100,16110600
25/11/2014 16:00:00,6900,7075,6900,6900,23114300
26/11/2014 16:00:00,7025,7025,6925,7025,14680000
27/11/2014 16:00:00,7100,7100,7025,7100,8172700
28/11/2014 16:00:00,7125,7125,7000,7125,9034200
01/12/2014 16:00:00,7100,7125,7000,7125,18701600
02/12/2014 16:00:00,7100,7150,6975,7000,28288100
03/12/2014 16:00:00,7075,7075,6850,6900,31060700
04/12/2014 16:00:00,6950,7050,6900,6975,23699600
05/12/2014 16:00:00,6975,7150,6975,7100,16511800
08/12/2014 16:00:00,7175,7175,7050,7100,29251800
09/12/2014 16:00:00,7100,7150,7075,7100,29850800
10/12/2014 16:00:00,7100,7200,7075,7150,23015200
11/12/2014 16:00:00,7125,7175,7100,7100,21823400
12/12/2014 16:00:00,7100,7250,7100,7175,27644900
15/12/2014 16:00:00,7100,7150,6975,7025,31417200
16/12/2014 16:00:00,6900,7150,6900,7100,43828900
17/12/2014 16:00:00,7100,7125,7025,7025,30882200
18/12/2014 16:00:00,7150,7200,7100,7200,16623100
19/12/2014 16:00:00,7250,7375,7175,7200,26745900
22/12/2014 16:00:00,7200,7275,7100,7125,21115400
23/12/2014 16:00:00,7225,7325,7225,7275,17248300
24/12/2014 16:00:00,7225,7350,7225,7325,20266000
29/12/2014 16:00:00,7375,7400,7325,7350,20762000
30/12/2014 16:00:00,7400,7475,7350,7425,45532000
02/01/2015 16:00:00,7475,7475,7375,7400,11250600
05/01/2015 16:00:00,7350,7375,7225,7225,15960600
06/01/2015 16:00:00,7125,7175,7050,7050,37116000
07/01/2015 16:00:00,7000,7175,7000,7150,27627100
08/01/2015 16:00:00,7150,7200,7075,7075,28907300
09/01/2015 16:00:00,7125,7125,7000,7025,43416500
12/01/2015 16:00:00,7000,7075,7000,7000,19181900
13/01/2015 16:00:00,7050,7175,7025,7175,23876900
14/01/2015 16:00:00,7125,7175,7050,7050,14021000
15/01/2015 16:00:00,7275,7275,7100,7275,28609500
16/01/2015 16:00:00,7200,7325,7150,7300,20906300
19/01/2015 16:00:00,7350,7450,7300,7425,32357700
20/01/2015 16:00:00,7475,7475,7400,7450,33204300
21/01/2015 16:00:00,7500,7700,7475,7675,58427300
22/01/2015 16:00:00,7725,7750,7650,7750,44169700
23/01/2015 16:00:00,7800,8100,7800,8075,83763300
26/01/2015 16:00:00,8100,8100,7825,8025,46020400
27/01/2015 16:00:00,7975,8000,7725,7825,36988800
28/01/2015 16:00:00,7875,7900,7775,7825,13303500
29/01/2015 16:00:00,7800,7850,7750,7750,27928900
30/01/2015 16:00:00,7875,7925,7825,7850,62791800
02/02/2015 16:00:00,7800,7875,7650,7750,24741000
03/02/2015 16:00:00,7700,7775,7575,7625,21003300
04/02/2015 16:00:00,7700,7725,7625,7725,28775500
05/02/2015 16:00:00,7725,7750,7500,7550,38947300
06/02/2015 16:00:00,7600,7600,7450,7600,43791500
09/02/2015 16:00:00,7575,7700,7550,7575,18249700
10/02/2015 16:00:00,7650,7700,7600,7625,27338800
11/02/2015 16:00:00,7625,7875,7625,7875,45462300
12/02/2015 16:00:00,7850,7925,7700,7925,32743400
13/02/2015 16:00:00,7950,7975,7875,7950,34871600
16/02/2015 16:00:00,7950,7975,7775,7800,13527700
17/02/2015 16:00:00,7725,7800,7725,7800,10097500
18/02/2015 16:00:00,7950,8050,7850,7950,68697400
20/02/2015 16:00:00,7850,7950,7850,7850,7536100
23/02/2015 16:00:00,7800,7900,7775,7900,19879600
24/02/2015 16:00:00,7900,8000,7850,8000,18250700
25/02/2015 16:00:00,8000,8175,7975,8150,39048800
26/02/2015 16:00:00,8050,8150,8025,8050,25559700
27/02/2015 16:00:00,8075,8075,7850,7850,41396200
02/03/2015 16:00:00,7850,7900,7800,7875,49164200
03/03/2015 16:00:00,7875,8050,7875,8000,49550000
04/03/2015 16:00:00,8025,8050,7875,7875,28378700
05/03/2015 16:00:00,7850,8000,7850,7850,26509100
06/03/2015 16:00:00,7925,8075,7875,8075,26743100
09/03/2015 16:00:00,7950,8075,7875,7950,56713500
10/03/2015 16:00:00,7950,8050,7925,7975,17798900
11/03/2015 16:00:00,8000,8000,7850,7850,49276600
12/03/2015 16:00:00,7900,7975,7850,7900,35138700
13/03/2015 16:00:00,7950,7950,7850,7875,27352000
16/03/2015 16:00:00,7900,8000,7875,7975,24470900
17/03/2015 16:00:00,8025,8050,7950,8000,26491800
18/03/2015 16:00:00,7975,8025,7925,7975,32650000
19/03/2015 16:00:00,8075,8100,7975,8050,78246500
20/03/2015 16:00:00,8050,8150,7975,8100,45346100
23/03/2015 16:00:00,8150,8300,8125,8175,56395200
24/03/2015 16:00:00,8200,8200,8100,8150,58551400
25/03/2015 16:00:00,8150,8250,8125,8200,25176400
26/03/2015 16:00:00,8150,8225,8150,8150,33683500
27/03/2015 16:00:00,8100,8200,8000,8200,42916500
30/03/2015 16:00:00,8250,8450,8200,8375,41823500
31/03/2015 16:00:00,8500,8575,8400,8575,46884900
01/04/2015 16:00:00,8575,8575,8175,8175,50961300
02/04/2015 16:00:00,8225,8275,7975,8075,23627800
06/04/2015 16:00:00,8150,8250,8100,8200,23208000
07/04/2015 16:00:00,8275,8275,8125,8150,13826400
08/04/2015 16:00:00,8075,8125,7950,7975,40611500
09/04/2015 16:00:00,8025,8150,8000,8150,24132500
10/04/2015 16:00:00,8150,8225,8000,8150,32941300
13/04/2015 16:00:00,8175,8175,8050,8175,14575600
14/04/2015 16:00:00,8175,8200,8100,8200,13000600
15/04/2015 16:00:00,8200,8225,8125,8175,10349900
16/04/2015 16:00:00,8200,8225,8000,8050,31847400
17/04/2015 16:00:00,8025,8075,7950,7975,31036600
20/04/2015 16:00:00,7975,8000,7650,7700,60270400
21/04/2015 16:00:00,7725,7950,7675,7925,41807400
22/04/2015 16:00:00,7950,7975,7875,7900,18642400
23/04/2015 16:00:00,7875,7950,7850,7900,31419100
24/04/2015 16:00:00,7975,8000,7800,7875,23973400
27/04/2015 16:00:00,7850,7850,7450,7450,67783000
28/04/2015 16:00:00,7325,7400,7250,7375,42559700
29/04/2015 16:00:00,7300,7375,7000,7100,66566500
30/04/2015 16:00:00,7000,7100,6700,6850,97140700
04/05/2015 16:00:00,7000,7175,6950,7100,39236500
05/05/2015 16:00:00,7175,7275,7075,7275,34491200
06/05/2015 16:00:00,7225,7375,7200,7350,39825800
07/05/2015 16:00:00,7250,7400,7175,7200,28803800
08/05/2015 16:00:00,7300,7450,7275,7400,16535600
11/05/2015 16:00:00,7500,7500,7325,7325,19273300
12/05/2015 16:00:00,7325,7475,7325,7375,23493800
13/05/2015 16:00:00,7450,7625,7350,7525,24180400
15/05/2015 16:00:00,7625,7725,7475,7500,38157100
18/05/2015 16:00:00,7550,7575,7425,7550,16408200
19/05/2015 16:00:00,7600,7700,7550,7700,26457600
20/05/2015 16:00:00,7800,7925,7675,7850,19458200
21/05/2015 16:00:00,7950,7950,7725,7825,15799600
22/05/2015 16:00:00,7700,7825,7575,7575,23717200
25/05/2015 16:00:00,7700,7700,7550,7575,14850800
26/05/2015 16:00:00,7625,7700,7500,7500,32319900
27/05/2015 16:00:00,7575,7600,7425,7425,30032900
28/05/2015 16:00:00,7425,7475,7350,7375,16165500
29/05/2015 16:00:00,7375,7425,7300,7300,42333200
01/06/2015 16:00:00,7300,7350,7225,7325,14502900
03/06/2015 16:00:00,7275,7300,7000,7050,43574000
04/06/2015 16:00:00,7025,7075,7000,7025,26016900
05/06/2015 16:00:00,7025,7050,6925,7000,36735100
08/06/2015 16:00:00,6975,7000,6925,6925,18666100
09/06/2015 16:00:00,6950,6950,6550,6850,47627600
10/06/2015 16:00:00,6875,6950,6850,6850,18896100
11/06/2015 16:00:00,6975,7000,6850,6950,12238100
12/06/2015 16:00:00,6975,7075,6950,7075,14582200
15/06/2015 16:00:00,7075,7100,6825,6850,12412300
16/06/2015 16:00:00,6925,6975,6800,6975,14537400
17/06/2015 16:00:00,6925,7075,6925,7000,26778700
18/06/2015 16:00:00,7000,7050,7000,7025,13448400
19/06/2015 16:00:00,7000,7125,7000,7050,31525600
22/06/2015 16:00:00,7100,7125,7000,7000,15859600
23/06/2015 16:00:00,7000,7050,6825,6825,17789900
24/06/2015 16:00:00,6900,6975,6875,6950,17283100
25/06/2015 16:00:00,6875,6900,6775,6850,21746700
26/06/2015 16:00:00,6800,6950,6800,6825,25079300
29/06/2015 16:00:00,6800,6925,6725,6875,12960500
30/06/2015 16:00:00,6925,7075,6875,7075,30190700
01/07/2015 16:00:00,7125,7150,6975,7025,26153500
02/07/2015 16:00:00,7100,7125,7050,7075,23515700
