Date,Open,High,Low,Close,Volume
01/10/2014 16:00:00,2049,2107,2049,2098,234291009
02/10/2014 16:00:00,2054,2068,2019,2019,183221348
03/10/2014 16:00:00,2019,2029,1951,1956,289479674
06/10/2014 16:00:00,1990,2059,1961,2054,148743017
07/10/2014 16:00:00,2078,2078,2024,2044,100523909
08/10/2014 16:00:00,2024,2039,1971,1971,230169442
09/10/2014 16:00:00,2005,2015,1995,2000,91611956
10/10/2014 16:00:00,1951,1985,1951,1971,123704546
13/10/2014 16:00:00,1961,1976,1951,1961,83244268
14/10/2014 16:00:00,1951,1995,1951,1971,137513508
15/10/2014 16:00:00,1990,2024,1971,2019,108453404
16/10/2014 16:00:00,1995,2024,1976,1995,158321751
17/10/2014 16:00:00,2005,2098,1995,2088,372774182
20/10/2014 16:00:00,2122,2156,2088,2088,229325325
21/10/2014 16:00:00,2078,2093,2034,2063,150829946
22/10/2014 16:00:00,2088,2102,2068,2093,112803040
23/10/2014 16:00:00,2107,2122,2093,2117,242408578
24/10/2014 16:00:00,2063,2117,2063,2107,152817961
27/10/2014 16:00:00,2122,2122,2059,2059,98461596
28/10/2014 16:00:00,2059,2063,2044,2049,131701179
29/10/2014 16:00:00,2068,2112,2063,2112,143082391
30/10/2014 16:00:00,2127,2127,2093,2112,84163704
31/10/2014 16:00:00,2127,2161,2112,2161,176581835
03/11/2014 16:00:00,2171,2171,2141,2166,105120066
04/11/2014 16:00:00,2141,2176,2141,2151,50025180
05/11/2014 16:00:00,2146,2171,2132,2161,52903412
06/11/2014 16:00:00,2166,2166,2088,2107,96993267
07/11/2014 16:00:00,2088,2107,2068,2078,84869942
10/11/2014 16:00:00,2073,2093,2073,2083,60083618
11/11/2014 16:00:00,2098,2137,2088,2132,83177642
12/11/2014 16:00:00,2141,2156,2117,2137,102871708
13/11/2014 16:00:00,2146,2151,2132,2146,85475718
14/11/2014 16:00:00,2151,2171,2146,2161,144321122
17/11/2014 16:00:00,2166,2176,2151,2161,99869444
18/11/2014 16:00:00,2176,2185,2156,2176,130784307
19/11/2014 16:00:00,2180,2185,2166,2166,109343626
20/11/2014 16:00:00,2151,2171,2141,2171,59445036
21/11/2014 16:00:00,2180,2185,2156,2180,96119444
24/11/2014 16:00:00,2190,2200,2185,2195,97683607
25/11/2014 16:00:00,2205,2224,2200,2200,146171781
26/11/2014 16:00:00,2219,2244,2210,2239,89845343
27/11/2014 16:00:00,2244,2249,2229,2244,57466251
28/11/2014 16:00:00,2249,2254,2239,2249,77571854
01/12/2014 16:00:00,2244,2288,2244,2268,114853571
02/12/2014 16:00:00,2273,2288,2263,2273,82832214
03/12/2014 16:00:00,2273,2288,2259,2263,111029770
04/12/2014 16:00:00,2249,2254,2234,2239,140513204
05/12/2014 16:00:00,2244,2249,2234,2239,109449720
08/12/2014 16:00:00,2224,2244,2200,2210,118503135
09/12/2014 16:00:00,2205,2215,2185,2190,148028595
10/12/2014 16:00:00,2180,2263,2180,2254,130118556
11/12/2014 16:00:00,2215,2259,2215,2244,133132091
12/12/2014 16:00:00,2244,2273,2234,2273,104228306
15/12/2014 16:00:00,2234,2263,2224,2234,99017142
16/12/2014 16:00:00,2205,2205,2146,2161,245705533
17/12/2014 16:00:00,2146,2224,2146,2205,183578037
18/12/2014 16:00:00,2224,2263,2224,2263,130472708
19/12/2014 16:00:00,2263,2288,2249,2249,167467940
22/12/2014 16:00:00,2273,2278,2263,2263,72484721
23/12/2014 16:00:00,2278,2288,2268,2283,62883950
24/12/2014 16:00:00,2263,2283,2263,2263,41031215
29/12/2014 16:00:00,2254,2278,2254,2273,47130547
30/12/2014 16:00:00,2273,2278,2263,2273,78064885
02/01/2015 16:00:00,2249,2288,2249,2273,46284400
05/01/2015 16:00:00,2263,2283,2259,2263,50808801
06/01/2015 16:00:00,2254,2268,2244,2249,66719544
07/01/2015 16:00:00,2263,2298,2259,2298,149820310
08/01/2015 16:00:00,2302,2337,2302,2337,150331785
09/01/2015 16:00:00,2346,2361,2332,2346,137846637
12/01/2015 16:00:00,2302,2332,2288,2293,92107031
13/01/2015 16:00:00,2283,2312,2283,2307,80824216
14/01/2015 16:00:00,2298,2322,2293,2293,82153656
15/01/2015 16:00:00,2283,2302,2278,2283,152393089
16/01/2015 16:00:00,2273,2312,2254,2259,149661433
19/01/2015 16:00:00,2263,2283,2259,2263,95510582
20/01/2015 16:00:00,2263,2268,2210,2244,284949122
21/01/2015 16:00:00,2268,2273,2219,2229,221806368
22/01/2015 16:00:00,2244,2259,2219,2239,167293688
23/01/2015 16:00:00,2263,2317,2263,2317,172768270
26/01/2015 16:00:00,2302,2332,2273,2317,187050786
27/01/2015 16:00:00,2327,2346,2317,2327,126859542
28/01/2015 16:00:00,2327,2327,2278,2283,151758607
29/01/2015 16:00:00,2293,2293,2273,2283,95908794
30/01/2015 16:00:00,2283,2298,2273,2278,137786166
02/02/2015 16:00:00,2278,2288,2263,2288,69098083
03/02/2015 16:00:00,2293,2307,2288,2293,95083660
04/02/2015 16:00:00,2317,2327,2288,2298,200176557
05/02/2015 16:00:00,2293,2298,2268,2283,132875330
06/02/2015 16:00:00,2298,2298,2268,2273,180915569
09/02/2015 16:00:00,2263,2302,2263,2278,133853704
10/02/2015 16:00:00,2268,2302,2268,2273,145039656
11/02/2015 16:00:00,2288,2293,2273,2283,107898867
12/02/2015 16:00:00,2283,2322,2283,2317,211857087
13/02/2015 16:00:00,2337,2346,2327,2341,245996641
16/02/2015 16:00:00,2341,2351,2327,2346,276341587
17/02/2015 16:00:00,2337,2346,2337,2341,129099700
18/02/2015 16:00:00,2390,2459,2385,2434,509583481
20/02/2015 16:00:00,2444,2498,2439,2483,191538272
23/02/2015 16:00:00,2483,2488,2429,2478,182355213
24/02/2015 16:00:00,2478,2537,2478,2498,222664815
25/02/2015 16:00:00,2517,2522,2498,2522,109703918
26/02/2015 16:00:00,2522,2537,2507,2527,108874683
27/02/2015 16:00:00,2546,2546,2512,2512,96270633
02/03/2015 16:00:00,2512,2527,2507,2527,106822605
03/03/2015 16:00:00,2488,2532,2488,2512,85903148
04/03/2015 16:00:00,2507,2517,2498,2502,109227800
05/03/2015 16:00:00,2502,2512,2493,2507,84320018
06/03/2015 16:00:00,2512,2551,2502,2551,89976032
09/03/2015 16:00:00,2537,2537,2507,2522,91755965
10/03/2015 16:00:00,2507,2556,2502,2512,85581802
11/03/2015 16:00:00,2498,2512,2483,2507,140672081
12/03/2015 16:00:00,2507,2537,2502,2517,70069794
13/03/2015 16:00:00,2537,2541,2488,2488,126086166
16/03/2015 16:00:00,2468,2537,2468,2517,73214017
17/03/2015 16:00:00,2517,2537,2517,2522,61897889
18/03/2015 16:00:00,2498,2532,2459,2532,88942308
19/03/2015 16:00:00,2546,2556,2527,2546,93542560
20/03/2015 16:00:00,2502,2541,2502,2517,139372879
23/03/2015 16:00:00,2517,2532,2512,2517,110828868
24/03/2015 16:00:00,2527,2546,2522,2537,108960277
25/03/2015 16:00:00,2537,2585,2532,2566,112951667
26/03/2015 16:00:00,2546,2590,2541,2561,109536846
27/03/2015 16:00:00,2517,2561,2517,2551,127322837
