Date,Open,High,Low,Close,Volume
01/10/2014 16:00:00,2865,2930,2865,2865,94794900
02/10/2014 16:00:00,2760,2850,2740,2760,153859200
03/10/2014 16:00:00,2790,2810,2765,2790,88591000
06/10/2014 16:00:00,2845,2850,2805,2845,50846100
07/10/2014 16:00:00,2860,2900,2835,2860,83200800
08/10/2014 16:00:00,2800,2860,2800,2800,78467600
09/10/2014 16:00:00,2800,2825,2790,2800,60567100
10/10/2014 16:00:00,2775,2795,2750,2775,91031000
13/10/2014 16:00:00,2775,2825,2755,2775,85519000
14/10/2014 16:00:00,2775,2800,2755,2775,65617400
15/10/2014 16:00:00,2855,2860,2795,2855,181364400
16/10/2014 16:00:00,2805,2850,2805,2805,124799700
17/10/2014 16:00:00,2805,2830,2800,2805,156781200
20/10/2014 16:00:00,2845,2900,2820,2845,168034000
21/10/2014 16:00:00,2850,2890,2820,2850,97679500
22/10/2014 16:00:00,2860,2900,2860,2860,91730800
23/10/2014 16:00:00,2880,2890,2850,2880,47414900
24/10/2014 16:00:00,2870,2880,2860,2870,59625800
27/10/2014 16:00:00,2805,2880,2805,2805,74077900
28/10/2014 16:00:00,2685,2765,2680,2685,254463000
29/10/2014 16:00:00,2720,2730,2690,2720,158998500
30/10/2014 16:00:00,2760,2765,2730,2760,111621300
31/10/2014 16:00:00,2750,2790,2735,2750,103439800
03/11/2014 16:00:00,2760,2775,2720,2760,84382000
04/11/2014 16:00:00,2740,2760,2735,2740,68740200
05/11/2014 16:00:00,2740,2770,2735,2740,66505800
06/11/2014 16:00:00,2710,2750,2710,2710,83250500
07/11/2014 16:00:00,2615,2705,2590,2615,178677800
10/11/2014 16:00:00,2630,2660,2620,2630,54606100
11/11/2014 16:00:00,2715,2730,2630,2715,102320000
12/11/2014 16:00:00,2730,2760,2730,2730,70895600
13/11/2014 16:00:00,2735,2740,2710,2735,54327800
14/11/2014 16:00:00,2740,2760,2725,2740,53677200
17/11/2014 16:00:00,2740,2760,2700,2750,85231600
18/11/2014 16:00:00,2755,2760,2745,2755,49793900
19/11/2014 16:00:00,2775,2780,2755,2775,99747600
20/11/2014 16:00:00,2720,2780,2720,2720,136427900
21/11/2014 16:00:00,2765,2770,2715,2765,44937600
24/11/2014 16:00:00,2815,2815,2775,2815,94476900
25/11/2014 16:00:00,2785,2805,2775,2785,86579400
26/11/2014 16:00:00,2815,2825,2785,2815,67759400
27/11/2014 16:00:00,2810,2825,2790,2810,33290800
28/11/2014 16:00:00,2825,2830,2800,2825,43622400
01/12/2014 16:00:00,2835,2885,2825,2880,101929900
02/12/2014 16:00:00,2885,2890,2850,2875,52989900
03/12/2014 16:00:00,2890,2890,2850,2850,41398100
04/12/2014 16:00:00,2875,2875,2830,2845,43817900
05/12/2014 16:00:00,2865,2865,2840,2840,19174900
