DATE,NUMBER OF USERS,% WORLD POPULATION,INFORMATION SOURCE
"December, 1995",16 millions,0.4 %,IDC
"December, 1996",36 millions,0.9 %,IDC
"December, 1997",70 millions,1.7 %,IDC
"December, 1998",147 millions,3.6 %,C.I. Almanac
"December, 1999",248 millions,4.1 %,Nua Ltd.
"March, 2000",304 millions,5.0 %,Nua Ltd.
"July, 2000",359 millions,5.9 %,Nua Ltd.
"December, 2000",361 millions,5.8 %,Internet World Stats
"March, 2001",458 millions,7.6 %,Nua Ltd.
"June, 2001",479 millions,7.9 %,Nua Ltd.
"August, 2001",513 millions,8.6 %,Nua Ltd.
"April, 2002",558 millions,8.6 %,Internet World Stats
"July, 2002",569 millions,9.1 %,Internet World Stats
"September, 2002",587 millions,9.4 %,Internet World Stats
"March, 2003",608 millions,9.7 %,Internet World Stats
"September, 2003",677 millions,10.6 %,Internet World Stats
"October, 2003",682 millions,10.7 %,Internet World Stats
"December, 2003",719 millions,11.1 %,Internet World Stats
"February, 2004",745 millions,11.5 %,Internet World Stats
"May, 2004",757 millions,11.7 %,Internet World Stats
"October, 2004",812 millions,12.7 %,Internet World Stats
"December, 2004",817 millions,12.7 %,Internet World Stats
"March, 2005",888 millions,13.9 %,Internet World Stats
"June, 2005",938 millions,14.6 %,Internet World Stats
"September, 2005",957 millions,14.9 %,Internet World Stats
"November, 2005",972 millions,15.2 %,Internet World Stats
"December, 2005","1,018 millions",15.7 %,Internet World Stats
"March, 2006","1,023 millions",15.7 %,Internet World Stats
"June, 2006","1,043 millions",16.0 %,Internet World Stats
"September, 2006","1,086 millions",16.7 %,Internet World Stats
"December, 2006","1,093 millions",16.7 %,Internet World Stats
"March, 2007","1,129 millions",17.2 %,Internet World Stats
"June, 2007","1,173 millions",17.8 %,Internet World Stats
"September, 2007","1,245 millions",18.9 %,Internet World Stats
"December, 2007","1,319 millions",20.0 %,Internet World Stats
"March, 2008","1,407 millions",21.1 %,Internet World Stats
"June, 2008","1,463 millions",21.9 %,Internet World Stats
"September, 2008","1,504 millions",22.5 %,Internet World Stats
"December, 2008","1,574 millions",23.5 %,Internet World Stats
"March, 2009","1,596 millions",23.8 %,Internet World Stats
"June, 2009","1,669 millions",24.7 %,Internet World Stats
"September, 2009","1,734 millions",25.6 %,Internet World Stats
"December, 2009","1,802 millions",26.6 %,Internet World Stats
"June, 2010","1,966 millions",28.7 %,Internet World Stats
"September, 2010","1,971 millions",28.8 %,Internet World Stats
"March, 2011","2,095 millions",30.2 %,Internet World Stats
"June, 2011","2,110 millions",30.4 %,Internet World Stats
"September, 2011","2,180 millions",31.5 %,Internet World Stats
"December, 2011","2,267 millions",32.7 %,Internet World Stats
"March, 2012","2,336 millions",33.3 %,Internet World Stats
"June, 2012","2,405 millions",34.3 %,Internet World Stats
"September, 2012","2,439 millions",34.8 %,Internet World Stats
"December, 2012","2,497 millions",35.7 %,I.T.U.
"December, 2013","2,802 millions",39.0 %,Internet World Stats
"June, 2014","3,035 millions",42.3 %,Internet World Stats
"December, 2014","3,079 millions",42.4 %,Internet World Stats
"June, 2015","3,270 millions",45.0 %,Internet World Stats
"December, 2015","3,366 millions",46.4 %,Internet World Stats
"June, 2016","3,631 millions",49.5 %,Internet World Stats
"December, 2016","3,696 millions",49.5 %,Internet World Stats
"June, 2017","3,885 millions",51.7 %,Internet World Stats
"December, 2017","4,156 millions",54.4 %,Internet World Stats
"June, 2018","4,208 millions",55.1 %,Internet World Stats
"December, 2018","4,313 millions",55.6 %,Internet World Stats
"March, 2019","4,383 millions",56.8 %,Internet World Stats
"June, 2019","4,536 millions",58.8 %,Internet World Stats
"June, 2020","4,833 millions",62.0 %,Internet World Stats
"December, 2020","5,053 millions",64.2 %,Internet World Stats
"March, 2021","5,168 millions",65.6 %,Internet World Stats
"December, 2021","5,252 millions",66.2 %,Internet World Stats
"March, 2022","5,382 millions",67.8 %,Internet World Stats
"July, 2022","5,473 millions",69.0 %,Internet World Stats
"December, 2022","5,544 millions",69.0 %,Internet World Stats
