"(p,q,P,Q)",AIC
"(10, 12, 0, 0)",64.55073511863486
"(11, 3, 0, 0)",1016.8426515062408
"(11, 4, 0, 0)",1019.0347511591913
"(11, 5, 0, 0)",1020.3792892724939
"(11, 1, 0, 0)",1021.0259223694457
"(12, 0, 0, 0)",1021.1216917546321
"(11, 7, 0, 0)",1021.6628352564373
"(12, 1, 0, 0)",1022.6560841261289
"(11, 2, 0, 0)",1022.8092693312437
"(11, 8, 0, 0)",1023.2564007703924
"(12, 3, 0, 0)",1023.3810133400758
"(11, 6, 0, 0)",1023.403729632345
"(12, 4, 0, 0)",1024.7394094564977
"(12, 5, 0, 0)",1025.5232238026438
"(12, 2, 0, 0)",1025.9649206498843
"(11, 0, 0, 0)",1026.8630109787034
"(11, 9, 0, 0)",1027.239888722515
"(11, 10, 0, 0)",1027.2933344928929
"(12, 6, 0, 0)",1029.2304884770133
"(12, 10, 0, 0)",1030.930047071715
"(10, 5, 0, 0)",1031.0171955545286
"(12, 11, 0, 0)",1031.0574410987128
"(11, 11, 0, 0)",1031.1874305370316
"(12, 12, 0, 0)",1031.2296012860854
"(11, 12, 0, 0)",1032.0635720842854
"(12, 8, 0, 0)",1032.3438270002011
"(12, 9, 0, 0)",1032.3770449920196
"(10, 9, 0, 0)",1033.0562029688588
"(12, 7, 0, 0)",1033.0697071224224
"(10, 10, 0, 0)",1036.2067023160612
"(10, 7, 0, 0)",1036.7340964919065
"(10, 6, 0, 0)",1040.5975738409888
"(10, 4, 0, 0)",1040.782715257255
"(10, 8, 0, 0)",1053.1334597145724
"(10, 11, 0, 0)",1083.2756426142587
"(10, 3, 0, 0)",1086.100461564391
"(10, 2, 0, 0)",1089.2715089649898
"(10, 1, 0, 0)",1106.625623370881
"(8, 10, 0, 0)",1128.2783973661649
"(9, 10, 0, 0)",1134.4823407546087
"(8, 8, 0, 0)",1137.3974583670274
"(9, 8, 0, 0)",1142.8938705917221
"(9, 6, 0, 0)",1144.0646009207321
"(9, 12, 0, 0)",1145.6669466055039
