"(p,q,P,Q)",AIC
"(2, 1, 1, 2)",892.2450471820237
"(2, 1, 1, 3)",894.0823479323944
"(1, 0, 1, 2)",894.287272289058
"(2, 1, 2, 3)",894.4766005274151
"(0, 1, 1, 2)",894.9912479768102
"(1, 0, 2, 1)",895.0967830667157
"(3, 1, 1, 2)",895.6107778491662
"(0, 3, 1, 2)",895.6528970224589
"(3, 2, 2, 3)",895.7692753812302
"(2, 2, 1, 2)",895.7728622672951
"(0, 1, 2, 1)",896.0268750876061
"(1, 0, 1, 3)",896.1302738182169
"(1, 1, 1, 2)",896.2240711399909
"(2, 0, 1, 2)",896.2374121225173
"(3, 3, 1, 2)",896.3056145394908
"(2, 1, 2, 1)",896.3791465056904
"(1, 0, 2, 3)",896.474985808324
"(0, 3, 2, 1)",896.5052444235153
"(1, 2, 2, 3)",896.6556521218755
"(3, 1, 2, 1)",896.6692075152517
"(1, 0, 3, 1)",896.7442353808264
"(0, 1, 1, 3)",896.7449703590282
"(0, 2, 1, 2)",896.8004578642749
"(2, 2, 2, 1)",896.8187165404157
"(1, 1, 2, 1)",896.9746645994665
"(2, 0, 2, 1)",897.003967543471
"(1, 3, 1, 2)",897.0535912636042
"(3, 1, 1, 3)",897.2453462349432
"(0, 1, 2, 3)",897.2595190606166
"(0, 3, 1, 3)",897.2958181090212
"(1, 0, 3, 3)",897.3980689206721
"(2, 3, 1, 2)",897.4193171590184
"(2, 2, 1, 3)",897.4799355946526
"(1, 0, 3, 2)",897.5393362556663
"(0, 1, 3, 1)",897.5501808546869
"(0, 2, 2, 1)",897.7227538141049
"(3, 2, 1, 2)",897.756751009324
"(3, 0, 1, 2)",897.8109887508923
"(0, 1, 3, 3)",897.9716976664722
"(1, 1, 1, 3)",898.049026835004
"(2, 0, 1, 3)",898.0738656989006
"(0, 3, 2, 3)",898.1194567257198
"(1, 3, 2, 1)",898.124896329354
"(1, 0, 2, 2)",898.1340982791902
"(1, 2, 1, 2)",898.1662642780117
"(0, 3, 3, 1)",898.1848214396961
"(3, 1, 3, 1)",898.198507756706
"(3, 1, 2, 3)",898.2001002954004
"(2, 2, 2, 3)",898.291157117127
"(2, 2, 3, 1)",898.3293421831515
"(1, 1, 2, 3)",898.4550404956265
"(2, 0, 2, 3)",898.4639107957145
"(0, 1, 3, 2)",898.4855936840441
"(2, 3, 2, 1)",898.5223117537986
"(3, 0, 2, 1)",898.5415507105835
"(1, 3, 1, 3)",898.5455345076404
"(0, 2, 1, 3)",898.6088327529393
"(1, 1, 3, 1)",898.6582157778166
"(0, 3, 3, 3)",898.6746564575594
"(2, 0, 3, 1)",898.6867984329349
"(0, 3, 0, 0)",898.6954477333985
"(3, 1, 3, 3)",898.7041575092101
"(3, 3, 1, 3)",898.833048322137
"(2, 2, 3, 3)",898.8380593573289
"(1, 2, 2, 1)",898.9306132869804
"(0, 2, 2, 3)",899.0164721870419
"(0, 3, 3, 2)",899.1356176743141
"(3, 3, 3, 1)",899.1417444320057
"(3, 2, 1, 3)",899.199451038571
"(0, 3, 2, 2)",899.209958196389
"(3, 3, 2, 3)",899.285855380202
"(0, 2, 3, 1)",899.305811536686
"(0, 1, 2, 2)",899.3131149871505
"(1, 1, 3, 3)",899.3448840984969
"(2, 0, 3, 3)",899.3631175284804
"(3, 1, 3, 2)",899.3742877509621
"(1, 1, 3, 2)",899.4527724925492
"(2, 0, 3, 2)",899.4824176184549
"(2, 2, 3, 2)",899.518325519907
"(0, 3, 1, 1)",899.5447581089991
