"(p,q,P,Q)",AIC
"(2, 3, 0, 0)",1703.6058504215966
"(2, 3, 1, 0)",1705.397187857629
"(2, 3, 0, 1)",1705.4853823847543
"(3, 3, 0, 0)",1705.4925018998733
"(3, 2, 0, 0)",1707.0051548141473
"(3, 3, 0, 1)",1707.1325173311898
"(3, 3, 1, 0)",1707.156619951232
"(2, 3, 0, 2)",1707.5193817092832
"(2, 3, 2, 0)",1707.6112788908272
"(2, 3, 1, 1)",1707.718134346347
"(2, 2, 0, 0)",1708.9948255777244
"(3, 3, 2, 0)",1709.0380147201386
"(3, 3, 0, 2)",1709.0796040710024
"(3, 3, 1, 1)",1709.110919566605
"(2, 3, 0, 3)",1709.1915109223014
"(3, 3, 2, 2)",1709.4634660289785
"(2, 3, 1, 2)",1709.6662823487648
"(2, 3, 3, 0)",1709.9636262201097
"(3, 3, 2, 1)",1710.367660175882
"(2, 2, 0, 2)",1710.6742227999257
"(3, 3, 0, 3)",1710.7460553708725
"(2, 3, 2, 1)",1710.7597517149652
"(3, 3, 3, 0)",1710.7665641094839
"(3, 3, 1, 2)",1710.8846280974012
"(2, 3, 1, 3)",1710.906305249201
"(2, 2, 0, 1)",1710.922513733031
"(3, 3, 2, 3)",1711.0041381922915
"(2, 3, 3, 1)",1711.0759848200944
"(3, 3, 3, 2)",1711.222503146255
"(2, 2, 1, 1)",1711.4881930862475
"(2, 2, 1, 0)",1712.1705118362006
"(3, 3, 3, 1)",1712.4099700540864
"(3, 3, 1, 3)",1712.7164644362306
"(2, 2, 2, 1)",1712.7220561724798
"(2, 3, 2, 2)",1712.9059576232735
"(1, 1, 0, 1)",1713.2410057134348
"(1, 1, 1, 0)",1713.3824478601246
"(1, 2, 0, 1)",1713.5314252016547
"(1, 2, 1, 0)",1713.6224263207607
"(1, 2, 0, 0)",1713.650425063166
"(1, 2, 2, 2)",1713.6806412491774
"(2, 1, 0, 1)",1713.7285553357187
"(2, 1, 1, 0)",1713.8310131307226
"(3, 3, 3, 3)",1713.893648722159
"(2, 1, 2, 2)",1713.9089916285134
"(1, 3, 0, 0)",1714.031244512094
"(1, 1, 0, 0)",1714.0504939964012
"(2, 2, 3, 1)",1714.1034835577534
"(2, 1, 0, 0)",1714.115157228276
"(2, 2, 1, 3)",1714.3596284115547
"(2, 2, 0, 3)",1714.4209387933674
"(0, 0, 2, 2)",1714.8147958789455
"(2, 2, 3, 0)",1714.9336646945644
"(1, 1, 2, 3)",1714.9424222229527
"(1, 1, 3, 0)",1714.9531058920156
"(1, 3, 0, 1)",1714.973690560941
"(1, 1, 2, 0)",1714.9994948904866
"(1, 3, 1, 0)",1715.0189616357702
"(1, 1, 3, 2)",1715.020883132002
"(1, 3, 2, 2)",1715.1606763909983
"(1, 1, 2, 2)",1715.176986500876
"(1, 1, 0, 2)",1715.2402311388764
