"(p,q,P,Q)",AIC
"(3, 1, 1, 3)",270.9510957588757
"(2, 4, 1, 3)",271.21711515642784
"(3, 3, 1, 3)",271.4224046277057
"(4, 1, 1, 3)",272.14529258252105
"(0, 4, 1, 3)",272.152379993512
"(3, 2, 1, 3)",272.22263578904546
"(2, 4, 0, 1)",272.5457129197948
"(3, 3, 0, 1)",272.5804129623178
"(3, 1, 1, 4)",272.9092350964069
"(3, 3, 2, 0)",272.94943824568935
"(2, 4, 2, 0)",272.9496503156364
"(3, 4, 1, 3)",273.2318253755901
"(1, 1, 1, 3)",273.28158520387115
"(3, 1, 2, 3)",273.29121647047504
"(0, 1, 1, 3)",273.36740573463214
"(0, 3, 1, 3)",273.42076360865735
"(0, 2, 1, 3)",273.7019928565171
"(1, 4, 1, 3)",273.80135723815414
"(4, 4, 1, 3)",273.8601904674558
"(2, 4, 2, 3)",274.0626643787582
"(4, 1, 1, 4)",274.09430314912487
"(4, 2, 1, 3)",274.12255481572765
"(0, 4, 1, 4)",274.152347406897
"(3, 3, 0, 3)",274.1588733164052
"(3, 4, 0, 1)",274.1711080136625
"(0, 4, 2, 3)",274.17215475172907
"(3, 2, 1, 4)",274.17262853922216
"(2, 4, 0, 3)",274.18088608046116
"(3, 1, 2, 0)",274.2569821466898
"(2, 4, 2, 1)",274.4266832707203
"(3, 3, 2, 1)",274.44146484216265
"(2, 4, 0, 2)",274.54522776155426
"(2, 4, 1, 1)",274.5454466435129
"(3, 3, 2, 4)",274.56515780013933
"(3, 1, 2, 4)",274.5742496350431
"(4, 1, 2, 3)",274.5797002746192
"(3, 3, 0, 2)",274.580322532812
"(3, 3, 1, 1)",274.58036481449517
"(3, 1, 3, 3)",274.5809556726439
"(3, 2, 2, 3)",274.5828946577837
"(2, 4, 3, 0)",274.61581158489133
"(2, 4, 2, 4)",274.61870264025345
"(3, 3, 3, 0)",274.63066202756556
"(3, 4, 2, 0)",274.7691577491813
"(3, 1, 0, 1)",274.8554692725307
"(0, 1, 2, 3)",274.8622424600677
"(4, 1, 2, 0)",274.92326778602614
"(4, 4, 0, 1)",274.9328871459927
"(2, 1, 1, 3)",274.96695334402943
"(2, 4, 1, 4)",274.9886319615242
"(3, 1, 0, 3)",275.03075084722667
"(3, 2, 2, 0)",275.0535762052075
"(0, 1, 1, 4)",275.10443703762525
"(3, 3, 1, 4)",275.161781987058
"(0, 4, 2, 0)",275.18772585795256
"(1, 1, 1, 4)",275.25131220018835
"(1, 2, 1, 3)",275.2549232646081
"(1, 1, 2, 3)",275.2857971063048
"(0, 1, 0, 1)",275.30238732735165
"(0, 3, 1, 4)",275.38888054176005
"(0, 3, 2, 3)",275.40450631790145
"(2, 4, 1, 0)",275.4254492333285
"(3, 3, 1, 2)",275.4337006542927
"(2, 4, 3, 3)",275.4359759214
"(2, 4, 1, 2)",275.44178834079617
"(3, 3, 1, 0)",275.49483002533043
"(2, 1, 2, 2)",275.5218972040933
"(3, 4, 1, 4)",275.52796838947984
"(0, 2, 2, 3)",275.62050702846034
"(0, 4, 3, 3)",275.64137537369953
"(4, 4, 2, 0)",275.6515168144458
"(0, 2, 1, 4)",275.65274188874446
"(4, 1, 0, 1)",275.7117980952736
"(2, 3, 0, 1)",275.72574786978487
"(3, 3, 0, 4)",275.7959552584631
"(3, 2, 0, 1)",275.8013091608796
"(1, 4, 1, 4)",275.8019855571394
"(4, 1, 2, 4)",275.8234390148863
"(2, 4, 0, 4)",275.8358699457854
"(0, 4, 2, 4)",275.83682398067816
"(1, 1, 0, 1)",275.8599886269602
"(0, 4, 0, 1)",275.86487139344786
"(0, 1, 2, 0)",275.8648929003134
"(4, 1, 0, 3)",275.91239876834834
"(3, 1, 2, 1)",275.9176959408028
"(3, 2, 2, 4)",275.9184233648657
"(4, 1, 3, 3)",275.9280118343397
"(1, 4, 2, 3)",275.97043200646
"(3, 2, 3, 3)",276.01911088433144
"(3, 1, 0, 4)",276.02422819012304
"(3, 2, 0, 3)",276.0272769013297
"(3, 1, 3, 0)",276.05352676541645
"(0, 2, 0, 1)",276.0760887553338
"(3, 4, 0, 3)",276.10537292527454
"(4, 2, 1, 4)",276.1437865697196
"(3, 4, 0, 2)",276.1476730692282
"(0, 4, 0, 3)",276.15618898539867
"(3, 4, 1, 1)",276.158811975297
"(3, 4, 2, 3)",276.174730497925
"(3, 4, 2, 1)",276.19621666130354
"(3, 1, 0, 2)",276.21699619995593
"(2, 3, 1, 3)",276.2346234563148
"(0, 1, 0, 2)",276.2478625215207
"(2, 4, 4, 0)",276.27099569845825
"(3, 3, 4, 0)",276.28206566103063
"(1, 1, 2, 0)",276.3295723898008
"(3, 4, 3, 0)",276.36919459543657
"(1, 4, 2, 0)",276.3965622634517
"(2, 2, 1, 3)",276.41681110281183
"(2, 4, 2, 2)",276.420477493184
"(2, 4, 3, 1)",276.42366552344515
"(4, 4, 2, 3)",276.4262713076213
"(3, 3, 2, 2)",276.43206465709835
"(3, 3, 3, 1)",276.43707166906677
"(4, 4, 0, 3)",276.53233692383424
"(2, 4, 3, 4)",276.53653908259645
"(3, 1, 1, 2)",276.54392706385397
"(3, 1, 1, 1)",276.5612099322856
"(3, 4, 2, 4)",276.567425830436
"(4, 3, 1, 3)",276.5757184707265
"(4, 2, 2, 3)",276.5809398408321
"(3, 3, 3, 4)",276.58882582656776
"(2, 0, 1, 3)",276.6087225754841
"(0, 2, 2, 0)",276.61308402548264
"(0, 1, 1, 1)",276.6355337391873
"(0, 3, 2, 0)",276.63843593047545
"(0, 1, 3, 3)",276.6429856522003
"(2, 1, 2, 3)",276.64972367609766
"(0, 3, 0, 1)",276.656022115057
"(4, 1, 2, 1)",276.6572183580546
"(4, 4, 2, 4)",276.69578291682643
"(3, 3, 3, 3)",276.7060771666163
"(3, 2, 2, 1)",276.746887171982
"(4, 1, 3, 0)",276.775132732833
"(2, 1, 1, 4)",276.78012521339883
"(1, 1, 3, 3)",276.79565044598144
"(0, 4, 0, 4)",276.8034471536712
"(4, 2, 2, 0)",276.84852797492897
"(0, 4, 0, 2)",276.8580694310341
"(4, 1, 0, 2)",276.8592038762006
"(3, 4, 1, 0)",276.86860600134736
"(3, 2, 3, 0)",276.87140315937626
"(1, 4, 0, 1)",276.880391826341
"(4, 4, 0, 2)",276.90694422436854
"(0, 3, 3, 3)",276.92502894090273
"(4, 4, 1, 1)",276.9513579017314
"(3, 2, 0, 2)",276.9517598646994
"(4, 4, 2, 1)",276.97233296505846
"(4, 4, 3, 0)",276.99827653321057
"(4, 1, 0, 4)",277.01409213592746
"(1, 1, 2, 4)",277.03154530371137
"(3, 1, 4, 4)",277.0526984249067
"(0, 1, 0, 3)",277.07663819765287
"(0, 3, 2, 4)",277.12008259284187
"(3, 3, 4, 4)",277.13108201288884
"(3, 2, 0, 4)",277.1382262482558
"(2, 4, 4, 4)",277.1517023715061
"(0, 4, 2, 1)",277.18551366933735
"(0, 4, 3, 0)",277.1867387495229
"(0, 2, 3, 3)",277.19294340906316
"(1, 2, 1, 4)",277.2168686128271
"(1, 2, 2, 3)",277.2324149800709
"(4, 1, 1, 2)",277.275597372533
"(3, 4, 1, 2)",277.2922522363752
"(4, 1, 1, 1)",277.3138596914767
"(0, 1, 2, 4)",277.31462253183867
"(4, 4, 3, 3)",277.3218523724716
"(2, 3, 2, 0)",277.3378524429396
"(1, 1, 0, 2)",277.34836805610684
"(0, 4, 1, 1)",277.3636713853563
"(4, 0, 1, 3)",277.36915743061195
"(3, 1, 3, 4)",277.372167912978
"(3, 2, 1, 2)",277.3854869219598
"(0, 1, 4, 2)",277.40264564482897
"(3, 2, 1, 1)",277.40543488996764
"(1, 4, 3, 3)",277.41491951539643
"(0, 4, 1, 2)",277.419177705498
"(1, 1, 0, 3)",277.4369115654099
"(2, 4, 4, 2)",277.45034623403376
"(1, 4, 0, 3)",277.4875913986731
"(0, 1, 2, 1)",277.4957684164627
"(0, 2, 2, 4)",277.49774347183705
"(0, 1, 0, 4)",277.5131151465963
"(1, 4, 2, 4)",277.5147734155777
"(0, 2, 0, 2)",277.53350772186457
"(1, 1, 1, 1)",277.56802239432574
"(0, 1, 3, 0)",277.57846565544065
"(0, 1, 1, 2)",277.6027322124285
"(3, 3, 4, 2)",277.6338714657835
"(1, 3, 1, 3)",277.6416107330055
"(4, 2, 0, 1)",277.6539733049658
"(0, 3, 0, 3)",277.6610652212775
"(4, 3, 0, 1)",277.67381670308987
"(2, 1, 0, 1)",277.6948188917725
"(0, 3, 0, 2)",277.7048433958413
"(0, 2, 1, 1)",277.7644959898631
"(0, 2, 0, 3)",277.772080946445
"(4, 2, 2, 4)",277.8119392989787
"(4, 3, 2, 0)",277.81484048968053
"(3, 4, 0, 4)",277.836131699356
"(1, 2, 0, 1)",277.83685888538236
"(2, 0, 2, 3)",277.85789211275346
"(3, 1, 4, 0)",277.8597468905773
"(4, 2, 0, 3)",277.8672027740669
"(4, 4, 1, 0)",277.87958756204387
"(3, 1, 2, 2)",277.88261343589284
"(0, 3, 0, 4)",277.89533404719987
"(3, 1, 3, 1)",277.8970203689124
"(3, 3, 4, 3)",277.90882406779514
"(2, 4, 4, 3)",277.9235173098846
"(3, 4, 3, 3)",277.9492109851858
"(4, 4, 1, 4)",277.9834240016106
"(1, 4, 0, 2)",277.98878384120735
"(1, 1, 0, 4)",278.0185162698182
"(2, 1, 2, 0)",278.0198912109414
"(2, 1, 3, 3)",278.057207796471
"(3, 4, 4, 0)",278.0619837373831
"(4, 1, 4, 4)",278.10089325469875
"(0, 3, 1, 1)",278.1480249651573
"(4, 4, 1, 2)",278.19410643863785
"(3, 4, 3, 1)",278.20533567639023
"(4, 2, 3, 3)",278.21906422418914
"(3, 4, 2, 2)",278.2234674839183
"(3, 1, 1, 0)",278.2235697750109
"(2, 4, 4, 1)",278.23971821803
"(2, 0, 1, 4)",278.2431472285191
"(3, 3, 4, 1)",278.24905379857114
"(3, 2, 4, 4)",278.25210734675227
"(3, 0, 1, 3)",278.29571885153325
"(1, 2, 2, 0)",278.30149323726636
"(1, 1, 2, 1)",278.3040929113459
"(4, 3, 0, 3)",278.3045509851087
"(4, 4, 0, 4)",278.3047704977367
"(1, 1, 3, 0)",278.31667270316166
"(1, 1, 1, 2)",278.33458649122645
"(2, 3, 0, 2)",278.3529703703252
"(0, 4, 4, 4)",278.3594726427052
"(1, 4, 0, 4)",278.3634069207266
"(1, 4, 2, 1)",278.3789907536316
"(0, 2, 0, 4)",278.38489042837057
"(1, 4, 3, 0)",278.38924162968556
"(2, 4, 3, 2)",278.41095186953936
"(0, 1, 4, 3)",278.4174238669167
"(3, 3, 3, 2)",278.42258434404624
"(1, 4, 1, 1)",278.4358092241399
"(3, 4, 3, 4)",278.4431480264593
"(0, 3, 4, 2)",278.4660206201296
"(2, 3, 1, 0)",278.49234911002753
"(4, 1, 4, 0)",278.5056910473505
"(1, 1, 4, 2)",278.51460988964595
"(0, 3, 2, 1)",278.51816686350793
"(4, 1, 3, 4)",278.5205631247877
"(0, 3, 3, 0)",278.5580141466415
"(0, 2, 2, 1)",278.566321181837
"(4, 2, 2, 1)",278.5832560908186
"(0, 2, 3, 0)",278.58871715204657
"(0, 2, 1, 2)",278.5948500256998
"(4, 1, 2, 2)",278.60784104840485
"(0, 3, 1, 2)",278.6090523063273
"(2, 1, 0, 2)",278.6277676509193
"(4, 1, 3, 1)",278.63250955658236
"(3, 2, 4, 0)",278.6374660762134
"(1, 4, 1, 2)",278.6472829360729
"(3, 2, 3, 4)",278.6669934545441
"(2, 2, 2, 3)",278.66999078072604
"(4, 2, 3, 0)",278.70079659858504
"(3, 2, 2, 2)",278.71363649071236
"(4, 3, 1, 4)",278.7196046210254
"(4, 2, 0, 2)",278.7281475007949
"(0, 2, 4, 2)",278.7291333673649
"(3, 2, 3, 1)",278.72980955721096
"(2, 3, 1, 1)",278.7315600291158
"(2, 2, 0, 1)",278.7670186325014
"(1, 2, 3, 3)",278.77749981088084
"(0, 4, 4, 0)",278.82219079920566
"(2, 1, 2, 4)",278.82684207102557
"(4, 4, 4, 0)",278.8422371959314
"(4, 4, 3, 1)",278.8522572969177
"(0, 4, 4, 2)",278.8749043453189
"(3, 1, 4, 3)",278.89615627932216
"(0, 1, 4, 0)",278.94800130980843
"(4, 2, 0, 4)",278.97988554188373
"(0, 1, 1, 0)",278.9807281481746
"(0, 4, 2, 2)",279.00303509742673
"(1, 2, 2, 4)",279.01739311602626
"(4, 4, 2, 2)",279.0556099188316
"(2, 3, 0, 3)",279.0666093587229
"(2, 3, 1, 4)",279.12255775432334
"(3, 2, 1, 0)",279.128985652908
"(2, 1, 0, 3)",279.13081724488956
"(2, 1, 0, 4)",279.136896382097
"(2, 2, 2, 0)",279.13925904851845
"(3, 4, 4, 4)",279.13959007064597
"(2, 1, 1, 1)",279.1556377642804
"(2, 0, 2, 0)",279.1728883249209
"(4, 2, 1, 2)",279.1866797390584
"(0, 4, 3, 1)",279.18765765268074
"(2, 2, 1, 4)",279.20038853496624
"(0, 4, 3, 4)",279.214801029147
"(4, 2, 1, 1)",279.22225044141544
"(2, 3, 3, 0)",279.26287614235605
"(4, 0, 1, 4)",279.2783593311633
"(1, 2, 0, 2)",279.2857583056158
"(4, 4, 3, 4)",279.28656540842394
"(4, 3, 2, 3)",279.30724539496106
"(4, 1, 1, 0)",279.3479645199305
"(1, 1, 1, 0)",279.4097841038755
"(1, 2, 0, 3)",279.41398334549245
"(4, 0, 2, 0)",279.47021594037784
"(0, 1, 3, 1)",279.4818270083257
"(0, 1, 2, 2)",279.5085459644072
"(4, 4, 4, 4)",279.5169066835099
"(1, 2, 1, 1)",279.5228502585187
"(1, 3, 2, 3)",279.5799212377373
"(2, 3, 2, 1)",279.5855745844249
"(0, 2, 1, 0)",279.59444619082
"(0, 1, 3, 4)",279.5983963232497
"(1, 3, 1, 4)",279.6030038423836
"(4, 0, 0, 1)",279.62386761909227
"(3, 0, 2, 3)",279.6306503752103
"(2, 1, 2, 1)",279.64264793246275
"(0, 4, 4, 3)",279.66591346769155
"(2, 1, 3, 0)",279.71189309598043
"(2, 0, 0, 3)",279.7174761434083
"(1, 1, 4, 3)",279.7289174893874
"(3, 4, 4, 2)",279.7426306123731
"(3, 1, 4, 1)",279.7715128619968
"(1, 3, 0, 1)",279.77444153979525
"(2, 1, 1, 2)",279.8336881692102
"(2, 0, 2, 4)",279.84420551695604
"(0, 3, 4, 3)",279.8576989605455
"(0, 4, 1, 0)",279.86238667312034
"(0, 2, 4, 3)",279.87623460149035
"(4, 3, 3, 0)",279.8798754609926
"(1, 4, 4, 4)",279.87998033960537
"(3, 1, 3, 2)",279.88146573431237
"(1, 1, 4, 4)",279.8850078620087
"(4, 1, 4, 2)",279.8888670963406
"(1, 1, 4, 0)",279.9082963260604
"(2, 3, 2, 3)",279.90880612332353
"(3, 4, 4, 3)",279.93261962232276
"(4, 0, 2, 3)",279.94139379546465
"(1, 2, 0, 4)",279.94841537777444
"(4, 3, 2, 4)",279.9824147861342
"(2, 3, 2, 4)",279.9894406748858
"(3, 0, 1, 4)",280.00358573374695
"(0, 3, 4, 4)",280.0200225728006
"(1, 4, 4, 0)",280.0384592473162
"(3, 4, 4, 1)",280.04443952484826
"(4, 1, 4, 3)",280.07811193152867
"(0, 1, 4, 4)",280.078669322289
"(2, 3, 1, 2)",280.0900497832886
"(4, 2, 4, 4)",280.10081362046253
"(2, 2, 2, 4)",280.1046424272171
"(2, 0, 3, 3)",280.1168704166986
"(1, 1, 2, 2)",280.13393287988436
"(0, 3, 4, 0)",280.142531682754
"(0, 2, 4, 0)",280.1425625074114
"(2, 0, 0, 1)",280.1507990120584
"(2, 2, 3, 3)",280.15781604526103
"(2, 2, 0, 3)",280.17766444572356
"(4, 3, 4, 0)",280.18413131787617
"(2, 0, 2, 1)",280.184290265747
"(3, 4, 3, 2)",280.1940366159594
"(3, 1, 4, 2)",280.2066617415961
"(1, 4, 2, 2)",280.21402276390836
"(1, 2, 2, 1)",280.26070559000533
"(3, 2, 4, 3)",280.26332592672816
"(4, 3, 0, 2)",280.2755236713066
"(1, 2, 3, 0)",280.2797568427434
"(1, 2, 1, 2)",280.28984203179084
"(1, 1, 3, 1)",280.298529045452
"(3, 3, 2, 3)",280.3023569295987
"(1, 4, 3, 1)",280.3045599792606
"(2, 3, 3, 3)",280.3332149888202
"(2, 1, 4, 3)",280.345249928195
"(1, 3, 2, 0)",280.34541788776755
"(2, 0, 3, 0)",280.3782120229321
"(0, 2, 4, 4)",280.38335100189613
"(0, 2, 2, 2)",280.41151215431904
"(2, 1, 4, 2)",280.4195306266748
"(4, 2, 4, 0)",280.4308459436188
"(0, 3, 2, 2)",280.44369298601123
"(4, 1, 4, 1)",280.44932400876735
"(2, 3, 0, 4)",280.45504286143887
"(1, 4, 3, 4)",280.45763144194103
"(3, 2, 4, 2)",280.4588431747802
"(1, 4, 4, 2)",280.49187002084903
"(0, 3, 3, 1)",280.5181126874735
"(0, 3, 1, 0)",280.52957924978097
"(4, 2, 2, 2)",280.53589101734997
"(2, 2, 0, 2)",280.5427345903851
"(4, 3, 1, 2)",280.55256722708884
"(4, 2, 3, 4)",280.55459418779424
"(4, 2, 3, 1)",280.55984886490353
"(0, 2, 3, 1)",280.5624700786309
"(1, 1, 3, 4)",280.5706531492956
"(3, 2, 4, 1)",280.57614844845557
"(4, 1, 3, 2)",280.60500498015267
"(4, 3, 3, 3)",280.63899805714397
"(2, 2, 1, 1)",280.6494361476002
"(4, 0, 0, 3)",280.66030806976244
"(1, 4, 1, 0)",280.6801796303291
"(3, 2, 3, 2)",280.71046209549513
"(0, 3, 3, 4)",280.7317524062548
"(0, 4, 4, 1)",280.73514697984047
"(4, 3, 2, 2)",280.7898557175987
"(0, 1, 4, 1)",280.8030175359248
"(4, 3, 1, 1)",280.80643233560147
"(4, 4, 4, 1)",280.82962021538873
"(4, 4, 3, 2)",280.8505625148679
"(2, 2, 2, 1)",280.8813579087225
"(4, 3, 2, 1)",280.8940120970726
"(1, 2, 4, 2)",280.9065382141781
"(4, 3, 0, 4)",280.9540589081779
"(0, 4, 3, 2)",280.99203827575684
"(4, 0, 0, 2)",281.00308877127657
"(2, 2, 3, 0)",281.0061759249935
"(4, 4, 4, 3)",281.0142487927808
"(4, 3, 3, 1)",281.0169749284627
"(4, 0, 2, 1)",281.0465081247242
"(3, 0, 2, 0)",281.0704379826488
"(0, 2, 3, 4)",281.07697520204056
"(4, 0, 2, 4)",281.0840170120031
"(4, 2, 1, 0)",281.0915609942914
"(2, 1, 4, 0)",281.13209792401483
"(1, 3, 3, 3)",281.1987212457916
"(4, 0, 3, 0)",281.2285956939363
"(1, 4, 4, 3)",281.2726364812436
"(2, 2, 0, 4)",281.30057284706794
"(4, 3, 1, 0)",281.3043629691302
"(4, 0, 3, 3)",281.30906760940866
"(1, 3, 0, 2)",281.31493471348165
"(4, 0, 1, 1)",281.3241410045914
"(2, 0, 0, 4)",281.3398840651589
"(2, 1, 1, 0)",281.37419585786597
"(0, 1, 3, 2)",281.3785679032428
